"meeting_date","paragraph_text"
"2023-06-14","good afternoon. my colleagues and i remain squarely focused on our dual mandate to promote maximum employment and stable prices for the american people. we understand the hardship that high inflation is causing, and we remain strongly committed to bringing inflation back down to our 2 percent goal. price stability is the responsibility of the federal reserve. without price stability, the economy doesnt work for anyone. in particular, without price stability, we will not achieve a sustained period of strong labor market conditions that benefit all. since early last year, the fomc has significantly tightened the stance of monetary policy. we have raised our policy interest rate by 5 percentage points, and weve continued to reduce our securities holdings at a brisk pace. weve covered a lot of ground, and the full effects of our tightening have yet to be felt. in light of how far weve come in tightening policy, the uncertain lags with which monetary policy affects the economy, and potential headwinds from credit tightening, today we decided to leave our policy interest rate unchanged and to continue to reduce our securities holdings. looking ahead, nearly all committee participants view it as likely that some further rate increases will be appropriate this year to bring inflation down to 2 percent over time. and i will have more to say about monetary policy after briefly reviewing economic developments. the u. s. economy slowed significantly last year, and recent indicators suggest that economic activity has continued to expand at a modest pace. although growth in consumer spending has picked up this year, activity in the housing sector remains weak, largely reflecting higher mortgage rates. higher interest rates and slower output growth also appear to be weighing on business fixed investment. committee participants generally expect subdued growth to continue. in our summary of economic projections, the median projection has real gdp growth at 1. 0 percent this year and 1. 1 percent next year, well below the median estimate of the longer-run normal growth rate. the labor market remains very tight. over the past three months, payroll job gains averaged a robust 283, 000 jobs per month. the unemployment rate moved up but remained low in may at 3. 7 percent. there are some signs that supply and demand in the labor market are coming into better balance. the labor force participation rate has moved up in recent months, particularly for individuals aged 25 to 54 years. nominal wage growth has shown signs of easing, and job vacancies have declined so far this year. while the jobs-to-workers gap has declined, labor demand still substantially exceeds the supply of available workers. fomc participants expect supply and demand conditions in the labor market to come into better balance over time, easing upward pressures on inflation. the median unemployment rate projection in the sep rises to 4. 1 percent at the end of this year and 4. 5 percent at the end of next year. inflation remains well above our longer-run 2 percent goal. over the 12 months ending in april, total pce procesprices rose 4. 4 percent; excluding the volatile food and energy categories, core pce prices rose 4. 7 percent. in may, the 12-month change in the consumer price index came in at 4 percent, and the change in the core, core cpi was 5. 3 percent. inflation has moderated somewhat since the middle of last year. nonetheless, inflation pressures continue to run high, and the process of getting inflation back down to 2 percent has a long way to go. the median projection in the sep for total pce inflation is 3. 2 percent this year, 2. 5 percent next year, and 2. 1 percent in 2025. core pce inflation, which excludes volatile food and energy prices, is projected to run higher than total inflation, and the median projection has been revised in the sep up to 3. 9 percent this year. despite elevated inflation, longer-term inflation expectations appear to remain well anchored, as reflected in a broad range of surveys of households, businesses, and forecasters, as well as measures from financial markets. the feds monetary policy actions are guided by our mandate to promote maximum employment and priceand stable prices for the american people. my colleagues and i are acutely aware that high inflation imposes hardship, as it erodes purchasing power, especially for those least able to meet the higher costs of essentials like food, housing, and transportation. we are highly attentive to the risks that high inflation poses to both sides of our mandate, and were strongly committed to returning inflation to our 2 percent objective. as i noted earlier, since early last year, weve raised our policy rate by 5 percentage points. we have been seeing the effects of our policy tightening on demand in the most interest ratesensitive sectors of the economy, especially housing and investment. it will take time, however, for the full effects of monetary restraint to be realized, especially on inflation. the economy is facing headwinds from tighter credit conditions for households and businesses, which are likely to weigh on economic activity, hiring, and inflation. the extent of these effects remains uncertain. in light of how far weve come in tightening policy, the uncertain lags with which monetary policy affects the economy, and potential headwinds from credit tightening, the committee decided at todays meeting to maintain the target range for the federal funds rate at 5 to 5¼ percent and to continue the process of significantly reducing our securities holdings. as i noted earlier, nearly, nearly all committee participants expect that it will be appropriate to raise interest rates somewhat further by the end of the year. but at this meeting, considering how far and how fast weve moved, we judged it prudent to hold the target range steady to allow the committee to assess additional information and its implications for monetary policy. in determining the extent of additional policy firming that may be appropriate to return inflation to 2 percent over time, the committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments. in our sep, participants wrote down their individual assessments of an appropriate path for the federal funds rate based on what each participant judges to be the most likely scenario going forward. if the economy evolves as projected, the median participant projects that the appropriate level of the federal funds rate will be 5. 6 percent at the end of this year, 4. 6 percent at the end of 2024, and 3. 4 percent at the end of 2025. for the end of this year, the median projection is ½ percentage point higher than in our march projections. i hasten to add, as always, that these projections are not a committee decision or plan. if the economy does not evolve as projected, the path for policy will adjust as appropriate to foster our maximum- employment and price-stability goals. we will continue to make our decisions meeting by meeting, based on the totality of incoming data and their implications for the outlook for economic activity and inflation, as well as the balance of risks. we remain committed to bringing inflationbringing inflation back down to our 2 percent goal and to keeping longer-term inflation expectations well anchored. reducing inflation is likely to require a period of below-trend growth and some softening of labor market conditions. restoring price stability is essential to set the stage for achieving maximum employment and stable prices over the longer run. to conclude: we understand that our actions affect communities, families, and businesses across the country. everything we do at the fed is in service to our public mission. we will do everything we can to achieve our maximum-employment and price-stability goals. thank you. and i look forward to your questions."
"2023-06-14","so, i guess i wouldi guess i would go back to the beginning of this tightening cycle to address that. so as we started our rate hikes early last year, we said there were three issues that would need to be addressed kind of in sequencethat of the speed of tightening, the level to which rates would need to go, and then a period of time over which wed need to keep policy restrictive. so at the outset, going back 15 months, the key issue was how fast to move rates up, and we moved very quickly by historical standards. then last december, after four consecutive 75 basis point hikes, we moderated to a pace of 50of a 50 basis point hike and then this year to three 25 basis point hikes at sequential meetings. so it seemed to us to make obvious sense to moderate our rate hikes as we got closer to our destination. so the decision to consider not hiking at every meeting and ultimately to hold rates steady at this meeting, i would just say its a continuation of, of that process. the main issue that were focused on now is determining the extent of additional policy firming that may be appropriate to return inflation to 2 percent over timeso that the pace of the increases and the ultimate level of increases are separate variables, given how far itwe have come. it may make sense for rates to move higher but at a more moderate pace. i want to stress one more thingand that is that the committee decision made today was only about this meeting. we didnt make any decision about going forward, including what would happen at the next meeting, includingwe did not decide or really discuss anything about going to an every-other-meeting kind of an approach or, or really any other approach. we really were focused on what to do at this meeting."
"2023-06-14","so again, we didntwe didnt make a decision about july. i mean, of course, it, it came up in thein the meeting from time to time. but really, the focus was, was on what to do today. i would say about, about july two things: (1) [the] decision hasnt been made, (2) i do expect that it will be a live meeting."
"2023-06-14","so youre, youre right that the data came in, i would say, consistent with, but on the high side of, expectations. and if you go back to the oldthe former septhe last sep in march, you will see that [compared with march, projected real gdp] growth moved up. these are not huge moves, but growth estimates moved up a bit. unemployment estimates moved down a bit. inflation estimates moved up a bit. and, you know, all three of those kind of point in the same directionwhich is, you know, that perhaps more [monetary policy] restraint will be necessary than we had thought at the last meeting. so although the level, frankly, is, is prettythe level of 5. 6 [percent] is pretty consistent, if you think about it, where the [expected] federal funds rate was trading before the bank incidents of early march. sobut so weve kind of gone back to that. so your question is, wheres thewheres the disinflation going to come from? and i, you know, i dont think the story has really changed. wethe committee has consistently said and believed that the process of getting inflation down is going to be a gradual one. its going to take some time. and i think you go back to theto the three-part framework for [analyzing] core pce inflationwhich is, we think, as good an indicator as you can have for where inflation is going forward. you start with goods. with goods, we need to see continued healing in supply conditionssupply-side conditions. theyve definitely improved a substantial amount, but if you talk to people in business, they will say its not back to where it was. so thats, thats one thing. and that should enable goods prices to continuegoods, goods inflation to continue to come down over time. in terms of housing services inflationthats another big piece. and, and you are seeing there that new rents in new, new leases are, are coming in at low levels. and its really a matter of time as that goes through the pipeline. in fact, i think any forecast that people are making right now about inflation coming down this year will, will contain a big dose ofthis year and next yearwill contain a, a good amount of, of disinflation [coming] from that source. and, and thats, again, probably going to come slower than we would [previously have expected it to come into] effect. that leaves, you know, the big sector, which is a little more than half, pardon me, of theof core pce inflation thats not housing services. and, you know, we see only the earliest signs of disinflation there. its a sectorits a very broad and diverse sector. i would say [that, ] in a number of the parts of that sector, the largest cost would be wage cost. its the service sector, so its, its heavily labor intensive. and i think many analysts would say that the key to getting inflation down there is to have a continuing loosening in labor market conditionswhich we have seen. we have actually seen, you knowi go through a number of indicators suggesting there has been some loosening in labor market conditions. we need to see that continue. i would almost say that the, the conditions that we need to see in place to get inflation down are, are coming into place. and that would be [real gdp] growth meaningfully below trend. it would be a labor market thats loosening. it would be goods pipelines getting healthier and healthier and that kind of thing. there, therethe things are in place that we need to see, but the process of that actually working on inflation is going to take some time."
"2023-06-14","so thefirst, i would say that the, the question of speed is a separate question from the questionfrom thefrom, from that of level. okay. soand i think if you look at the sep, that is our estimateour individualits, its really a cumulation of our individual estimates of how far to go. i, i mentioned how, how we got to those numbers. in terms of speed, its, its what i said at the beginning, which is, speed was very important last year. as we get closer and closer to the destinationand, according to the sep, were not so far away from the destination, in most peoples accountingits, its reasonableits common sense to go a little slower, just as it was reasonable to go from 75 basis points to 50 to 25 at every meeting. and so the committee thought overall that it was appropriate to moderate the pace, if only slightly. then there are benefits to that. so that gives us more information to make decisions. we may try to make better decisions. i think it allows the economy a little more time to adapt as weas we make our decisions going forward, and well get to see, you knowwe havent reallywe dont know the full extent of, of the consequences of the banking turmoil that weve seen. we, weit would be early to see those, but we dont know what the extent is. well have some more time to see that unfold. i mean, its, its just the idea that were trying to get this right. and this isif you think of the two things as separate variables, then i thinki think that the skipi shouldnt call it a skipthe, the decision makes sense."
"2023-06-14","well, i think youre adding that to the, the data that weve seen since the last meeting, too. you know, wesince we chose to maintain rates at this meeting, itll really be a three-month period of data that we can look at. and i think thats a full quarter, and i think you canyou can draw more conclusions from that than you can from any sixany six- week period. well look at those things. well also look at the evolving risk picture. well look at whats happening in the financial sector. well look at all the data, the evolving outlook, and well make a decision."
"2023-06-14","you know, ii mean, on the first part, i just think were following the data and also the outlook. the economy isthe labor market, i think, has surprised many, if not all, analysts over the last couple of years with its extraordinary resilience, really. and its, its just remarkable. and thats really, if you think about itthats whats driving it. its job creation. its, its wages moving up. its, its supporting spending, which in turn is supporting hiring. and its, its really the engine, it seems, that isthat is driving the economy. and so its, its really the, the data. in terms of, you knowwe, we always write down at these meetings what we think the appropriate terminal rate will be at the end of this year. thats, thats how we do it. its based on our, our own individual assessments of what the most likely path of the economy is. it can beit can actually, in reality, wind up being lower or higher. and, you know, theres really no way to know. but itsit isits, its what people think as of today, and as theas the data come in, it, it can move around during the intermeeting period. it could wind up back in the same place. but it really will be data driven. i canti cant tell you that that i ever have a lot of confidence that we can see where thewhere the federal funds rate will be that far in advance."
"2023-06-14","you know, i, i would say again that i think that, over time, the balance of risks, as we move from very, you knowfrom interest rates that are effectively zero now to 5 percentage points with, with an sep calling for additional hikesi think weve moved much closer to our destination, which is that sufficiently restrictive rate, and i think that means byalmost by definition that thethat the risks of, of sort of overdoing it and under, underdoing it are, are getting closer to being in balance. i still think, and my, my colleagues agree, that, that the risks to inflation are to the upside still. so we dontwe dont think were there with inflation yet because were just looking at the data. and if you look at theat the full range of, of inflation data, particularly the core data, you justyou just arent seeing a lot of progress over the last year. headline, of course, inflation has come down materially, but, as you know, we look at core [inflation] as a better indicator of where inflation overall is going. sufficientlyso i think, you know, what, what wed like to see is credible evidence that inflation is topping out and then beginning to come down. thats, thats what we want to see of course thats what we want to see. and i, i think itsits alsowe understand that there are lags, but remember that its, its more than a year since financial conditions began tightening. i think itsi think the reason were, were comfortable pausing is that we are stillmuch of the tightening took place over last summer and later into the year. and i think its, its reasonable to think that some of that may come into effect. so were, you knowi think stretching out into a more moderate pace is appropriate to, to allow you to make that judgment of sufficiency, you know, morewith more data over time."
"2023-06-14","yeah. so its aits a challenging thing in, in economics. its, its sort of standard thinking that monetary policy affects economic activity with long and variable lags. of course, these days, financial conditions begin to tighten well in advance of actual rate hikes. so if youif you look back when we were lifting off, we started talking about lifting offby the time we had lifted off, the two-year [interest rate], which is a pretty good estimate of where [monetary] policy is going, had gone from 20 basis points to 200 basis points. so in that sense, tightening happens much sooner than it used to in a world where where news was in newspapers and not, you know, not on, on the wire. so thats, thats different. but its still the case that what you see is interest-sensitive spending is affected very, very quicklyso housing, and durable goods, and things like that. but broader demand, and spending, and, and asset values, and things like thatthey just take longer. and you can pretty much find research to support whatever answer you would like on that. so theres not any certainty or agreement in the profession on how long it takes. so, you know, then that makes it challenging, of course. so were, were looking at the calendar. were, were looking at whats happening in the economy. were having to make these judgments. again, its one of the main reasons why it makes sense to go at a slightly more moderate pace now as we seek that, that ultimatei cant point tothat ultimate endpoint. i cant point to a specific data point. i think well see it when we see inflation, you know, really, really flattening out reliably and then starting to soften. i think well know that werethat its working. and, ideally, by, by taking a little more time, we wont go well past the level where we need to go."
"2023-06-14","so its, its too early still to, to try to assess the full extent of what that might mean. and, you know, thats something were going to be watching, of course. and, you know, if we were to see what, what we would view as significant tightening beyond what would normally be expected because of, of this channel, then, you know, we would factor that into account on, onin, in making rate decisions. so thats, thats how we think about it."
